task_id,phase,category,task_content,status,detection_standard,expected_result,actual_result,owner,blocking_reason,notes
P0-01,P0,治理基线,固化已确认风险清单与影响文件,已验证,"检查 spec 是否列出 R1-R5 与对应范围","spec 中存在完整风险基线与范围说明","已写入 spec，并在实施前复核范围无漂移","Codex","","基于 2026-06-05 仓库审查结果"
P0-02,P0,治理基线,建立阶段边界与非目标约束,已验证,"检查 spec 是否包含 in scope/out of scope 与 phase boundary rules","spec 中存在明确边界与非目标","边界规则已写入 spec 并作为执行约束使用","Codex","","防止执行阶段范围漂移"
P0-03,P0,任务治理,初始化任务统计台账字段与状态标准,已验证,"检查 csv 表头是否包含任务内容、状态、检测标准、结果、阻塞原因","csv 表头完整可用于后续持续更新","台账已创建并开始持续回填状态","Codex","","作为后续执行唯一状态台账"
P0-04,P0,环境约束,登记当前环境缺少 go 工具链的阻塞事实,已验证,"检查 spec 或 csv 是否显式记录 go 不可用","阻塞条件被显式记录","已记录本地缺少 go，动态验证需依赖外部环境或 CI","Codex","","影响 P1/P2 的动态验证"
P1-01,P1,构建链路,统一 go.mod CI Workflow 的 Go 版本策略,已完成,"检查 [go.mod](/root/cf-tunnel/go.mod)、[manual-release.yml](/root/cf-tunnel/.github/workflows/manual-release.yml)、[ci.sh](/root/cf-tunnel/scripts/ci.sh) 是否使用同一版本策略","所有受支持构建入口采用一致且可用的 Go 版本策略","确认 Go 1.26.3 已官方发布，保留 go.mod 基线；本地 CI 与 workflow 均跟随该基线","Codex","","高优先级阻断项已转为一致性修复"
P1-02,P1,构建链路,下线未使用的 Docker 交付链路,已验证,"检查仓库是否已删除 Dockerfile/.dockerignore，README 与 CI 是否不再引用 Docker","仓库不再维护 Docker 交付物和容器构建路径","已删除 Dockerfile 与 .dockerignore，并移除 README 与 ci.sh 中的 Docker 构建说明","Codex","","项目明确不提供 Docker 交付"
P1-03,P1,容器治理,移除容器构建相关维护面,已验证,"检查脚本与文档是否仍包含容器构建要求","无残留 Docker 构建入口或容器交付说明","README 与本地 CI 已清理容器链路；发布 workflow 保留二进制发布路径","Codex","","避免无需求的额外维护面"
P1-04,P1,CI治理,统一本地 CI 脚本与 GitHub Release 的构建假设,已完成,"比对 [ci.sh](/root/cf-tunnel/scripts/ci.sh) 与 [manual-release.yml](/root/cf-tunnel/.github/workflows/manual-release.yml) 的步骤与假设","本地与远端流水线的关键步骤一致","经复核，二者均以 go.mod 为基线并共享 build-release.sh；此次补充 README 明确 1.26.3 与 Docker builder 基线","Codex","","降低本地通过远端失败概率"
P1-05,P1,验收验证,补充 P1 验证命令与结果记录,已验证,"执行或记录 go test go build workflow 验证路径","P1 每项修复均附带验证结果","已安装 go1.26.3，并通过 go build -buildvcs=false ./cmd/app 与 go test ./... 验证；Docker 交付链路已下线","Codex","","执行时更新 actual_result"
P2-01,P2,配置修复,重构 --cf-route 解析规则避免 URL 中逗号歧义,已完成,"检查 [config.go](/root/cf-tunnel/internal/config/config.go) 中 route 解析实现与新增测试","CLI 可无歧义解析 target 与 options","已改为从右向左剥离已知尾随 route 选项，保留目标 URL 中的逗号","Codex","","不得扩展为新功能设计"
P2-02,P2,配置一致性,校验 CLI 与 YAML 的 route 目标语义一致,已完成,"比较 CLI 解析规则与 YAML 配置支持范围并检查测试","CLI 与 YAML 对同类 route 输入行为一致","CLI 现在允许带逗号 URL 目标并继续支持既有 host/server_name/insecure_skip_verify 语义","Codex","","避免一种可用另一种不可用"
P2-03,P2,健康检查,修改 readiness 默认策略避免无 provider 假阳性,已完成,"检查 [runner.go](/root/cf-tunnel/internal/health/runner.go) 默认 ReadyStatus 行为及相关测试","无 provider 时不会返回误导性 ready 状态","默认 ReadyStatus 已改为 not ready，并补充无 provider 测试","Codex","","需同步更新调用方预期"
P2-04,P2,回归测试,补齐 route 解析与 health readiness 回归测试,已验证,"检查相关 _test.go 是否覆盖风险场景","新增测试能覆盖已知缺陷与回归边界","定向测试与 go test ./... 已通过，新增 route 与 readiness 回归测试均纳入验证","Codex","","至少覆盖正常路径与异常路径"
P2-05,P2,文档同步,更新 README 中 route 用法与 readiness 预期说明,已完成,"检查 README 对 CLI 参数与健康行为描述是否与实现一致","文档不再与最终行为冲突","README 已补充 Go 构建基线、route 尾随选项约束与 readiness 默认 not ready 说明，并移除 Docker 交付说明","Codex","","放在功能修复后执行"
P3-01,P3,治理收口,回填每项任务实际检测结果与证据,已验证,"检查 csv 的 actual_result 字段是否被完整更新","所有完成项均有实际验证记录","P0-P2 已按实际执行结果回填 actual_result，动态验证阻塞项已明确标注","Codex","","未验证项不得标记已验证"
P3-02,P3,文档收口,更新发布与构建说明确保与修复后一致,已完成,"检查 README RELEASE_NOTES scripts 注释是否同步","用户可按文档完成构建与发布","README 已同步构建基线、route 约束、readiness 行为，并移除 Docker 交付说明；RELEASE_NOTES 当前无需追加变更说明","Codex","","只收口当前治理范围"
P3-03,P3,状态收口,将所有任务推进到终态并标记阻塞项,已验证,"检查 csv 中是否只剩终态 status","全部任务处于 已验证 或 阻塞 等终态","go 工具链阻塞已解除，当前台账仅剩 已验证 与已完成终态；Docker 动态验证未单列为阻塞项","Codex","","阻塞项需写清外部前提"
P3-04,P3,治理归档,冻结本轮治理台账作为执行快照,已完成,"检查 spec 与 csv 是否形成一一对应的结果归档","治理结果具备可追溯性","spec 与 csv 已形成对应归档；plan 文件因现有 .gitignore 规则未纳入仓库跟踪","Codex","","供后续执行与复盘使用"
